time,x1,x2,x3,parent_symbol,projected_symbol
38771,-0.760466,-0.833998,-1.341826,1010,2
38772,-0.797491,-0.846178,-1.207201,1010,2
38773,-0.833458,-0.857254,-1.070762,1010,2
38774,-0.868337,-0.867205,-0.932683,1010,2
38775,-0.902083,-0.876015,-0.793138,1011,2
38776,-0.934800,-0.883785,-0.652305,1011,2
38777,-0.967039,-0.890718,-0.510355,1011,2
38778,-0.999148,-0.896501,-0.367359,1011,2
38779,-1.030875,-0.901121,-0.223155,1011,2
38780,-1.061721,-0.904620,-0.077775,1011,2
38781,-1.091234,-0.907033,0.068543,1011,2
38782,-1.119206,-0.908380,0.215467,1011,2
38783,-1.145709,-0.908655,0.362678,1011,2
38784,-1.170970,-0.907826,0.509931,1011,2
38785,-1.195176,-0.905847,0.657050,979,2
38786,-1.218251,-0.902687,0.803843,979,2
38787,-1.239200,-0.898386,0.949663,979,2
38788,-1.258549,-0.892982,1.093703,979,2
38789,-1.277417,-0.886428,1.235686,979,2
38790,-1.296683,-0.878653,1.375583,979,2
38791,-1.316701,-0.869592,1.513452,979,2
38792,-1.337304,-0.859222,1.649344,979,2
38793,-1.358000,-0.847573,1.783262,979,2
38794,-1.378189,-0.834722,1.915147,979,2
38795,-1.397349,-0.820758,2.044886,979,2
38796,-1.415112,-0.805768,2.172330,979,2
38797,-1.431273,-0.789816,2.297318,979,2
38798,-1.445739,-0.772943,2.419688,979,2
38799,-1.458470,-0.755174,2.539289,979,2
38800,-1.469428,-0.736522,2.655984,979,2
38801,-1.478556,-0.716998,2.769644,979,2
38802,-1.485770,-0.696616,2.880149,979,2
38803,-1.490965,-0.675396,2.987381,979,2
38804,-1.494035,-0.653358,3.091224,979,2
38805,-1.494877,-0.630527,3.191566,979,2
38806,-1.493399,-0.606927,3.288293,979,2
38807,-1.489525,-0.582582,3.381297,979,2
38808,-1.483185,-0.557513,3.470473,979,2
38809,-1.474319,-0.531744,3.555719,979,2
38810,-1.462872,-0.505295,3.636940,979,2
38811,-1.448789,-0.478189,3.714042,979,2
38812,-1.432023,-0.450446,3.786938,979,2
38813,-1.412523,-0.422089,3.855541,979,2
38814,-1.390247,-0.393140,3.919772,979,2
38815,-1.365153,-0.363622,3.979552,979,2
38816,-1.337205,-0.333557,4.034808,979,2
38817,-1.306373,-0.302968,4.085469,979,2
38818,-1.272627,-0.271878,4.131470,979,2
38819,-1.235944,-0.240311,4.172748,979,2
38820,-1.196304,-0.208289,4.209243,979,2
38821,-1.153689,-0.175835,4.240901,979,2
38822,-1.108087,-0.142973,4.267670,979,2
38823,-1.059487,-0.109726,4.289503,1011,2
38824,-1.007515,-0.076142,4.306188,1011,2
38825,-0.950840,-0.042364,4.316725,1011,2
38826,-0.890818,-0.008484,4.319931,1010,2
38827,-0.830453,0.025485,4.315704,1010,2
38828,-0.772926,0.059311,4.304757,1010,2
38829,-0.719379,0.093629,4.288098,1010,2
38830,-0.668146,0.128493,4.266776,1010,2
38831,-0.616412,0.163649,4.240973,1010,2
